task_id,task_description,priority,deadline,assigned_to,status,created_at,estimated_hours,actual_hours
TASK_69498,Clean up old branches from repository.,Low,2025-06-29,user_32,In Progress,2025-06-12,6.05,6.08
TASK_24349,Database optimization needed before backup.,High,2025-08-02,user_58,To Do,2025-06-02,2.72,5.04
TASK_87055,Critical bug in production impacting all users.,Critical,2025-06-25,user_85,Completed,2025-05-21,6.01,9.48
TASK_52873,Conduct mid-cycle review of project progress.,Medium,2025-06-22,user_4,Completed,2025-06-16,11.45,14.3
TASK_95234,Improve UI consistency across all pages.,Low,2025-07-25,user_74,To Do,2025-05-21,11.14,13.61
TASK_24297,Update user avatars with new icons.,Low,2025-07-04,user_78,To Do,2025-06-08,7.82,8.2
TASK_86070,Critical bug in production impacting all users.,Critical,2025-08-16,user_35,To Do,2025-05-20,7.74,9.61
TASK_89326,Critical bug in production impacting all users.,Critical,2025-07-27,user_56,In Progress,2025-05-31,2.28,1.9
TASK_86561,Update user avatars with new icons.,Low,2025-07-17,user_45,In Progress,2025-05-24,10.93,9.5
TASK_69046,Prepare for upcoming product launch this week.,,2025-07-01,user_64,Completed,2025-05-30,3.25,7.12
TASK_20867,Organize code comments and improve readability.,Low,2025-07-27,user_92,To Do,2025-05-29,5.55,3.96
TASK_29858,Schedule meeting with stakeholders next week.,Medium,2025-07-17,user_44,Completed,2025-05-28,9.6,8.61
TASK_81910,Database optimization needed before backup.,High,2025-08-06,user_43,In Progress,2025-06-11,7.49,9.79
TASK_37424,Client report must be submitted by evening.,High,2025-07-13,user_24,In Progress,2025-06-16,5.49,8.21
TASK_83556,Refactor legacy module as per guidelines.,Medium,2025-06-27,user_79,In Progress,2025-05-20,13.17,15.13
TASK_42105,Organize code comments and improve readability.,Low,2025-06-22,user_78,Completed,2025-06-16,8.71,9.63
TASK_60763,Client report must be submitted by evening.,High,2025-07-08,user_96,In Progress,2025-06-12,6.16,6.59
TASK_62299,Client report must be submitted by evening.,High,2025-07-27,user_21,,2025-05-26,14.39,14.57
TASK_12565,Update user avatars with new icons.,Low,2025-06-21,user_90,To Do,2025-05-21,13.98,12.05
TASK_85041,Clean up old branches from repository.,Low,2025-06-25,user_62,To Do,2025-05-27,14.32,17.13
TASK_50955,Enhance logging for future debugging.,Low,2025-06-29,,To Do,2025-05-29,9.75,7.83
TASK_76684,Task needs completion before end of the day.,High,2025-06-29,user_64,In Progress,2025-06-01,8.45,6.65
TASK_93077,Critical bug in production impacting all users.,Critical,2025-06-21,user_74,To Do,2025-05-22,7.95,7.59
TASK_90257,Complete documentation for current sprint.,Medium,2025-07-08,,Completed,2025-06-04,10.5,10.06
TASK_42537,Immediate action required: Payment system down.,Critical,2025-07-23,user_84,In Progress,2025-05-28,10.82,11.24
TASK_37106,Enhance logging for future debugging.,Low,2025-07-15,user_74,In Progress,2025-06-12,4.36,5.01
TASK_75997,Task needs completion before end of the day.,High,2025-07-19,user_37,To Do,2025-05-22,11.59,10.83
TASK_42515,Complete documentation for current sprint.,Medium,2025-07-22,user_79,In Progress,2025-06-11,4.11,6.55
TASK_42117,Conduct mid-cycle review of project progress.,Medium,2025-07-02,user_30,Completed,2025-06-15,8.84,9.2
TASK_24870,Improve UI consistency across all pages.,Low,2025-06-28,user_74,To Do,2025-05-26,14.06,13.97
TASK_36085,Code review required urgently for merge.,High,2025-07-21,user_36,In Progress,2025-05-23,15.58,17.97
TASK_84264,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-10,user_40,Completed,2025-05-23,2.38,6.05
TASK_36019,URGENT: System failure requires immediate attention.,Critical,2025-06-29,user_86,In Progress,2025-06-17,3.91,6.31
TASK_73679,URGENT: System failure requires immediate attention.,Critical,2025-07-07,user_92,To Do,2025-06-02,9.78,10.81
TASK_41974,Complete documentation for current sprint.,Medium,2025-07-14,user_50,,2025-06-07,15.3,15.05
TASK_22165,Task needs completion before end of the day.,,2025-07-15,user_63,In Progress,2025-06-13,11.24,9.8
TASK_56913,Enhance logging for future debugging.,Low,2025-08-03,user_86,To Do,2025-06-04,7.05,7.14
TASK_83673,Immediate action required: Payment system down.,Critical,2025-08-12,user_99,Completed,2025-06-10,14.67,13.05
TASK_43692,Update user avatars with new icons.,Low,2025-07-25,user_27,Completed,2025-05-30,4.34,7.57
TASK_24650,Refactor legacy module as per guidelines.,Medium,2025-07-28,user_28,To Do,2025-06-05,8.68,11.63
TASK_39258,Task needs completion before end of the day.,,2025-07-15,user_96,Completed,2025-05-25,12.77,12.1
TASK_35352,Code review required urgently for merge.,,2025-08-07,user_83,Completed,2025-05-31,6.21,8.87
TASK_30435,Immediate action required: Payment system down.,Critical,2025-06-30,user_13,In Progress,2025-05-26,2.1,1.89
TASK_54527,Schedule meeting with stakeholders next week.,Medium,2025-07-05,user_81,In Progress,2025-05-23,6.59,8.59
TASK_24474,Conduct mid-cycle review of project progress.,Medium,2025-08-14,user_79,Completed,2025-06-09,11.77,14.94
TASK_40010,Coordinate with design team on layout feedback.,Medium,2025-08-02,,To Do,2025-05-24,8.9,7.77
TASK_74175,Update user avatars with new icons.,Low,2025-07-09,user_81,To Do,2025-06-17,3.81,1.88
TASK_21795,Conduct mid-cycle review of project progress.,Medium,2025-06-21,user_45,In Progress,2025-05-29,3.4,5.69
TASK_59255,High priority task: Resolve server outage now.,Critical,2025-08-07,user_28,To Do,2025-05-20,15.23,15.73
TASK_11195,Refactor legacy module as per guidelines.,Medium,2025-07-06,user_81,To Do,2025-06-06,8.8,12.54
TASK_53449,Coordinate with design team on layout feedback.,Medium,2025-06-20,user_44,To Do,2025-06-07,9.23,8.38
TASK_85050,Update user avatars with new icons.,Low,2025-07-18,user_56,Completed,2025-05-22,13.58,15.53
TASK_66300,Immediate action required: Payment system down.,Critical,2025-08-07,user_42,To Do,2025-06-12,7.67,8.15
TASK_61989,Database optimization needed before backup.,High,2025-08-09,user_80,Completed,2025-05-29,12.25,13.7
TASK_92720,Refactor legacy module as per guidelines.,,2025-08-09,user_37,In Progress,2025-06-17,9.59,11.02
TASK_70642,Database optimization needed before backup.,High,2025-07-31,user_2,In Progress,2025-05-23,9.45,11.9
TASK_64566,URGENT: System failure requires immediate attention.,Critical,2025-08-03,user_85,To Do,2025-05-31,6.77,7.24
TASK_25361,Prepare for upcoming product launch this week.,High,2025-07-25,user_40,To Do,2025-05-23,4.79,5.21
TASK_44264,Schedule meeting with stakeholders next week.,Medium,2025-08-12,user_9,,2025-06-05,8.78,6.9
TASK_63710,Critical bug in production impacting all users.,Critical,2025-07-06,user_28,To Do,2025-05-22,5.62,6.79
TASK_81302,Schedule meeting with stakeholders next week.,Medium,2025-06-29,user_70,To Do,2025-06-12,14.05,13.94
TASK_41350,Enhance logging for future debugging.,Low,2025-08-08,user_35,Completed,2025-05-26,15.82,15.93
TASK_70005,Update user avatars with new icons.,Low,2025-08-06,user_48,In Progress,2025-06-02,3.19,6.42
TASK_66559,Conduct mid-cycle review of project progress.,Medium,2025-06-20,user_20,Completed,2025-06-14,2.74,6.59
TASK_80255,Critical bug in production impacting all users.,Critical,2025-06-22,user_87,In Progress,2025-05-23,4.37,5.13
TASK_79740,Update user avatars with new icons.,Low,2025-06-22,user_55,To Do,2025-05-25,9.06,12.8
TASK_11961,Critical bug in production impacting all users.,Critical,2025-07-14,user_52,To Do,2025-06-05,3.18,2.06
TASK_48264,Schedule meeting with stakeholders next week.,Medium,2025-07-19,user_49,To Do,2025-06-07,8.51,9.19
TASK_93132,Organize code comments and improve readability.,Low,2025-06-20,user_28,In Progress,2025-06-05,13.13,13.56
TASK_54852,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-08,user_31,In Progress,2025-05-23,10.86,13.39
TASK_98493,Update user avatars with new icons.,Low,2025-08-14,user_39,To Do,2025-05-29,5.58,5.1
TASK_95281,Conduct mid-cycle review of project progress.,Medium,2025-06-30,user_31,To Do,2025-05-20,12.89,15.65
TASK_18403,Immediate action required: Payment system down.,Critical,2025-07-11,user_95,In Progress,2025-06-07,2.76,1.81
TASK_57157,Task needs completion before end of the day.,High,2025-07-30,user_21,Completed,2025-05-27,9.47,9.29
TASK_71760,URGENT: System failure requires immediate attention.,Critical,2025-07-28,user_8,To Do,2025-05-29,2.03,4.81
TASK_67496,Update user avatars with new icons.,,2025-07-24,user_88,In Progress,2025-06-16,9.2,12.98
TASK_21764,Prepare for upcoming product launch this week.,High,2025-07-01,,In Progress,2025-06-01,15.65,18.59
TASK_83411,High priority task: Resolve server outage now.,Critical,2025-08-01,user_71,In Progress,2025-05-22,9.1,10.39
TASK_48668,Client report must be submitted by evening.,High,2025-07-01,user_4,To Do,2025-06-03,7.26,9.48
TASK_36557,Update user avatars with new icons.,Low,2025-07-07,user_63,In Progress,2025-06-12,12.8,13.33
TASK_71019,Improve UI consistency across all pages.,Low,2025-07-31,user_81,Completed,2025-06-16,15.52,17.37
TASK_94758,Database optimization needed before backup.,High,2025-07-08,user_88,To Do,2025-06-08,13.81,15.87
TASK_46234,Coordinate with design team on layout feedback.,,2025-07-26,user_35,In Progress,2025-06-01,7.87,9.03
TASK_42630,Update user avatars with new icons.,Low,2025-07-28,user_15,To Do,2025-06-07,14.54,16.15
TASK_15357,High priority task: Resolve server outage now.,Critical,2025-07-17,user_67,Completed,2025-06-08,12.16,10.45
TASK_37601,Organize code comments and improve readability.,Low,2025-07-15,user_23,In Progress,2025-05-31,2.73,6.34
TASK_51633,Database optimization needed before backup.,High,2025-08-15,user_76,To Do,2025-05-25,7.32,11.16
TASK_12837,URGENT: System failure requires immediate attention.,Critical,2025-08-07,user_64,Completed,2025-06-03,5.32,8.26
TASK_87741,URGENT: System failure requires immediate attention.,Critical,2025-08-02,user_7,To Do,2025-05-28,6.03,4.87
TASK_74840,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-16,user_42,Completed,2025-05-30,9.47,10.62
TASK_58547,Refactor legacy module as per guidelines.,Medium,2025-07-21,user_9,Completed,2025-06-11,4.23,2.46
TASK_92344,Database optimization needed before backup.,High,2025-08-06,user_14,In Progress,2025-05-28,5.32,9.07
TASK_38538,,High,2025-07-21,user_71,Completed,2025-05-30,14.69,14.28
TASK_19774,Improve UI consistency across all pages.,Low,2025-06-21,user_92,In Progress,2025-06-10,5.93,5.37
TASK_51015,Task needs completion before end of the day.,,2025-08-01,user_16,Completed,2025-06-10,6.72,5.42
TASK_37105,Prepare for upcoming product launch this week.,High,2025-06-24,user_37,To Do,2025-06-01,15.82,16.64
TASK_86218,Conduct mid-cycle review of project progress.,Medium,2025-07-10,user_3,Completed,2025-06-07,5.41,7.43
TASK_40473,Clean up old branches from repository.,Low,2025-07-10,user_19,Completed,2025-06-14,4.62,5.07
TASK_71333,Improve UI consistency across all pages.,Low,2025-08-12,user_16,Completed,2025-05-20,13.5,15.27
TASK_47458,Organize code comments and improve readability.,Low,2025-08-14,user_98,To Do,2025-05-30,9.06,8.26
TASK_69265,Schedule meeting with stakeholders next week.,Medium,2025-07-05,user_46,Completed,2025-05-20,4.29,5.79
TASK_44022,Coordinate with design team on layout feedback.,Medium,2025-07-14,user_17,Completed,2025-06-05,6.36,5.76
TASK_64500,Enhance logging for future debugging.,Low,2025-08-10,user_2,In Progress,2025-06-03,15.55,16.49
TASK_37505,Prepare for upcoming product launch this week.,High,2025-07-26,user_43,Completed,2025-05-27,4.82,6.23
TASK_27911,URGENT: System failure requires immediate attention.,,2025-07-17,user_29,In Progress,2025-05-22,13.65,15.7
TASK_46604,Database optimization needed before backup.,,2025-07-09,user_95,In Progress,2025-06-17,11.33,9.47
TASK_75056,Coordinate with design team on layout feedback.,Medium,2025-08-14,user_24,In Progress,2025-06-15,9.57,11.06
TASK_55519,URGENT: System failure requires immediate attention.,Critical,2025-08-13,user_27,In Progress,2025-06-16,8.93,8.71
TASK_11302,Refactor legacy module as per guidelines.,Medium,2025-07-15,user_29,In Progress,2025-06-06,6.93,7.13
TASK_68473,Immediate action required: Payment system down.,Critical,2025-07-08,user_69,To Do,2025-06-10,6.55,7.15
TASK_20524,Database optimization needed before backup.,High,2025-06-19,user_21,Completed,2025-06-14,14.18,12.91
TASK_31865,Schedule meeting with stakeholders next week.,Medium,2025-07-30,user_31,In Progress,2025-05-24,2.25,5.05
TASK_34782,Enhance logging for future debugging.,Low,2025-07-30,user_54,Completed,2025-06-16,10.85,11.64
TASK_90661,Clean up old branches from repository.,Low,2025-07-25,user_23,Completed,2025-06-07,5.66,8.85
TASK_28867,Task needs completion before end of the day.,High,2025-07-21,user_40,To Do,2025-06-15,13.36,13.89
TASK_75363,Code review required urgently for merge.,High,2025-07-16,user_82,In Progress,2025-06-13,13.68,15.97
TASK_76842,Schedule meeting with stakeholders next week.,Medium,2025-07-25,user_66,To Do,2025-05-29,9.99,11.04
TASK_48298,Improve UI consistency across all pages.,Low,2025-07-15,user_22,Completed,2025-05-31,6.55,9.42
TASK_19590,Critical bug in production impacting all users.,Critical,2025-07-12,user_8,In Progress,2025-05-26,12.89,16.39
TASK_33705,Complete documentation for current sprint.,Medium,2025-07-14,user_33,To Do,2025-06-17,2.94,5.51
TASK_78630,High priority task: Resolve server outage now.,Critical,2025-06-23,user_69,To Do,2025-05-20,12.71,13.95
TASK_70670,,Critical,2025-07-01,user_29,In Progress,2025-06-17,13.51,13.09
TASK_41077,Client report must be submitted by evening.,High,2025-08-11,user_99,To Do,2025-06-14,11.08,13.79
TASK_11036,Prepare for upcoming product launch this week.,High,2025-08-14,user_60,Completed,2025-05-24,5.4,8.1
TASK_41011,Clean up old branches from repository.,Low,2025-08-07,user_73,To Do,2025-06-18,5.74,4.63
TASK_43306,Coordinate with design team on layout feedback.,Medium,2025-08-08,user_35,To Do,2025-05-25,9.93,8.82
TASK_66469,Code review required urgently for merge.,High,2025-08-16,user_76,In Progress,2025-05-27,2.13,3.37
TASK_89555,Immediate action required: Payment system down.,Critical,2025-07-03,,,2025-05-29,5.31,4.67
TASK_48570,Task needs completion before end of the day.,High,2025-06-23,user_17,To Do,2025-05-21,14.17,16.39
TASK_14018,High priority task: Resolve server outage now.,Critical,2025-08-03,user_28,To Do,2025-06-03,13.03,12.94
TASK_18258,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-15,user_58,To Do,2025-06-10,11.79,13.46
TASK_58259,High priority task: Resolve server outage now.,Critical,2025-08-09,user_58,Completed,2025-05-28,3.22,3.63
TASK_53609,Critical bug in production impacting all users.,Critical,2025-06-24,user_42,To Do,2025-06-04,7.22,10.26
TASK_37210,Client report must be submitted by evening.,,2025-06-20,user_61,Completed,2025-05-26,9.54,11.6
TASK_87672,URGENT: System failure requires immediate attention.,Critical,2025-07-06,user_98,Completed,2025-05-28,4.26,2.83
TASK_95168,Code review required urgently for merge.,,2025-08-14,user_17,In Progress,2025-06-15,4.66,8.3
TASK_92715,Organize code comments and improve readability.,Low,2025-07-06,user_48,Completed,2025-06-05,7.12,10.46
TASK_59772,High priority task: Resolve server outage now.,Critical,2025-08-14,user_89,In Progress,2025-06-13,6.95,5.42
TASK_20481,Prepare for upcoming product launch this week.,,2025-07-22,user_92,Completed,2025-05-21,12.23,16.05
TASK_38453,High priority task: Resolve server outage now.,Critical,2025-06-30,user_57,To Do,2025-05-28,10.26,11.33
TASK_77708,Coordinate with design team on layout feedback.,Medium,2025-08-15,,To Do,2025-06-17,12.46,13.51
TASK_88249,Schedule meeting with stakeholders next week.,,2025-06-26,user_32,,2025-06-04,15.12,14.53
TASK_55423,URGENT: System failure requires immediate attention.,Critical,2025-06-26,user_25,To Do,2025-05-21,11.74,14.63
TASK_90054,Complete documentation for current sprint.,Medium,2025-07-21,user_13,In Progress,2025-05-25,12.03,11.29
TASK_22182,,Critical,2025-07-10,user_75,In Progress,2025-06-04,15.73,19.61
TASK_35667,Critical bug in production impacting all users.,Critical,2025-07-16,user_26,To Do,2025-05-29,13.27,12.28
TASK_13499,High priority task: Resolve server outage now.,Critical,2025-07-20,user_16,To Do,2025-06-18,7.8,8.95
TASK_74192,Critical bug in production impacting all users.,Critical,2025-07-06,user_49,In Progress,2025-06-11,15.29,18.0
TASK_29669,Improve UI consistency across all pages.,Low,2025-07-14,user_19,Completed,2025-05-22,11.0,14.49
TASK_29855,Clean up old branches from repository.,Low,2025-07-20,user_46,To Do,2025-05-29,11.48,14.8
TASK_57242,Critical bug in production impacting all users.,Critical,2025-07-16,user_49,To Do,2025-06-09,7.77,11.2
TASK_70233,Task needs completion before end of the day.,High,2025-08-15,user_29,,2025-05-24,13.42,12.33
TASK_54648,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-03,user_64,Completed,2025-05-30,15.27,18.27
TASK_37749,Update user avatars with new icons.,Low,2025-08-17,user_67,,2025-06-18,6.52,4.52
TASK_54442,Complete documentation for current sprint.,Medium,2025-07-22,user_28,In Progress,2025-05-31,8.71,8.66
TASK_17827,Improve UI consistency across all pages.,Low,2025-07-29,user_37,Completed,2025-05-24,8.91,7.34
TASK_75662,Complete documentation for current sprint.,Medium,2025-07-07,user_26,Completed,2025-05-24,13.95,14.1
TASK_29226,High priority task: Resolve server outage now.,Critical,2025-08-07,,To Do,2025-05-28,2.24,5.29
TASK_87972,Clean up old branches from repository.,Low,2025-08-11,user_63,In Progress,2025-06-09,14.03,14.98
TASK_47630,Refactor legacy module as per guidelines.,Medium,2025-06-30,user_100,To Do,2025-06-03,6.79,10.07
TASK_24807,Immediate action required: Payment system down.,Critical,2025-08-08,user_3,In Progress,2025-06-04,3.45,2.75
TASK_33456,Refactor legacy module as per guidelines.,Medium,2025-08-05,user_79,In Progress,2025-06-13,10.48,14.39
TASK_75828,Database optimization needed before backup.,High,2025-08-04,user_3,To Do,2025-05-29,4.63,4.08
TASK_12934,,Medium,2025-07-09,user_2,To Do,2025-06-11,11.8,11.71
TASK_50890,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-29,user_55,In Progress,2025-06-04,5.94,7.16
TASK_24190,High priority task: Resolve server outage now.,Critical,2025-08-06,user_95,To Do,2025-06-15,14.48,15.59
TASK_65432,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-27,,In Progress,2025-06-03,8.8,7.79
TASK_49207,Update user avatars with new icons.,Low,2025-07-24,user_38,In Progress,2025-06-04,2.26,4.68
TASK_26697,URGENT: System failure requires immediate attention.,Critical,2025-07-31,user_57,In Progress,2025-05-25,9.31,12.15
TASK_84078,Task needs completion before end of the day.,High,2025-07-15,user_5,Completed,2025-06-04,4.96,5.44
TASK_67690,Prepare for upcoming product launch this week.,High,2025-08-02,user_77,Completed,2025-05-30,8.42,11.31
TASK_45582,Enhance logging for future debugging.,Low,2025-06-26,user_88,Completed,2025-06-06,6.02,4.31
TASK_14154,Coordinate with design team on layout feedback.,Medium,2025-07-09,user_52,Completed,2025-05-27,8.62,8.48
TASK_25846,Coordinate with design team on layout feedback.,Medium,2025-06-19,,In Progress,2025-06-14,2.83,1.79
TASK_86744,Refactor legacy module as per guidelines.,Medium,2025-06-25,user_31,Completed,2025-06-14,15.84,18.95
TASK_62692,URGENT: System failure requires immediate attention.,Critical,2025-08-08,user_93,To Do,2025-06-08,10.07,9.18
TASK_21668,Improve UI consistency across all pages.,Low,2025-06-26,user_48,To Do,2025-05-21,7.09,5.46
TASK_95309,High priority task: Resolve server outage now.,Critical,2025-08-11,user_23,In Progress,2025-06-08,15.57,13.63
TASK_15192,Task needs completion before end of the day.,High,2025-08-09,user_64,Completed,2025-06-14,13.55,16.04
TASK_36174,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-14,user_89,To Do,2025-05-27,9.69,11.95
TASK_46225,Refactor legacy module as per guidelines.,Medium,2025-07-14,user_54,In Progress,2025-06-04,3.01,1.61
TASK_64000,Critical bug in production impacting all users.,Critical,2025-07-21,user_42,To Do,2025-06-15,12.1,12.58
TASK_98129,Client report must be submitted by evening.,High,2025-08-06,user_86,Completed,2025-06-06,6.95,8.1
TASK_45173,Enhance logging for future debugging.,Low,2025-07-01,user_41,Completed,2025-06-18,4.58,8.55
TASK_70130,,Low,2025-08-05,user_54,In Progress,2025-06-10,5.31,4.48
TASK_43275,Improve UI consistency across all pages.,,2025-07-04,user_57,Completed,2025-06-02,10.44,14.03
TASK_28537,Update user avatars with new icons.,Low,2025-08-01,user_34,Completed,2025-06-03,13.25,14.88
TASK_10938,Organize code comments and improve readability.,Low,2025-07-03,user_58,Completed,2025-06-04,3.67,5.74
TASK_80526,Improve UI consistency across all pages.,Low,2025-06-24,user_91,Completed,2025-06-16,5.11,4.34
TASK_87463,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-14,user_45,Completed,2025-06-03,6.64,5.25
TASK_14545,,High,2025-07-23,user_54,To Do,2025-06-01,14.18,18.08
TASK_28884,Schedule meeting with stakeholders next week.,Medium,2025-08-12,user_60,In Progress,2025-05-26,12.71,15.61
TASK_15174,Client report must be submitted by evening.,High,2025-06-28,user_93,In Progress,2025-05-26,12.19,14.84
TASK_74721,Coordinate with design team on layout feedback.,,2025-07-21,user_78,To Do,2025-06-15,13.45,14.24
TASK_81155,,Medium,2025-07-04,user_69,Completed,2025-06-07,8.32,11.82
TASK_66647,Clean up old branches from repository.,Low,2025-07-25,user_69,Completed,2025-05-31,2.66,3.6
TASK_23135,Conduct mid-cycle review of project progress.,Medium,2025-06-30,user_58,In Progress,2025-05-25,11.07,9.98
TASK_58541,Coordinate with design team on layout feedback.,Medium,2025-08-12,user_50,To Do,2025-05-25,14.74,16.82
TASK_42404,Schedule meeting with stakeholders next week.,Medium,2025-07-07,user_53,To Do,2025-06-18,2.02,4.24
TASK_30582,Update user avatars with new icons.,Low,2025-08-06,user_4,To Do,2025-05-21,15.12,17.6
TASK_69524,Immediate action required: Payment system down.,Critical,2025-08-06,user_91,To Do,2025-06-17,15.94,17.77
TASK_22438,Immediate action required: Payment system down.,Critical,2025-06-21,user_82,In Progress,2025-05-29,3.26,1.89
TASK_43472,Update user avatars with new icons.,Low,2025-08-15,user_76,Completed,2025-05-31,8.73,11.22
TASK_81671,Update user avatars with new icons.,Low,2025-06-20,user_6,Completed,2025-06-16,9.58,10.18
TASK_96328,Critical bug in production impacting all users.,Critical,2025-08-02,user_95,In Progress,2025-06-03,14.07,17.32
TASK_74081,Database optimization needed before backup.,High,2025-06-24,user_45,To Do,2025-06-09,7.22,5.44
TASK_13007,Complete documentation for current sprint.,,2025-07-15,user_49,To Do,2025-06-14,13.93,15.21
TASK_97455,Clean up old branches from repository.,Low,2025-06-21,user_59,Completed,2025-06-16,6.45,5.8
TASK_24974,Organize code comments and improve readability.,Low,2025-08-01,user_60,Completed,2025-05-30,9.23,8.63
TASK_86789,Coordinate with design team on layout feedback.,Medium,2025-07-14,user_45,In Progress,2025-06-07,4.93,3.46
TASK_14165,,Critical,2025-07-29,user_58,Completed,2025-06-02,12.91,13.65
TASK_59039,Schedule meeting with stakeholders next week.,Medium,2025-07-05,user_22,Completed,2025-06-10,2.1,1.34
TASK_14630,Complete documentation for current sprint.,Medium,2025-06-30,user_16,In Progress,2025-06-05,11.87,14.11
TASK_59232,,High,2025-07-29,user_17,In Progress,2025-05-21,5.25,8.89
TASK_54041,Database optimization needed before backup.,High,2025-07-10,user_85,Completed,2025-06-14,3.13,4.42
TASK_26077,Code review required urgently for merge.,High,2025-06-30,user_37,Completed,2025-05-25,7.95,10.4
TASK_96638,Task needs completion before end of the day.,High,2025-06-19,user_59,Completed,2025-06-05,3.76,2.23
TASK_53076,Prepare for upcoming product launch this week.,High,2025-07-30,user_62,In Progress,2025-06-11,14.28,13.68
TASK_15622,URGENT: System failure requires immediate attention.,Critical,2025-08-17,user_25,In Progress,2025-06-10,10.51,12.76
TASK_63743,Database optimization needed before backup.,High,2025-08-10,user_22,Completed,2025-06-13,6.83,7.77
TASK_76772,Conduct mid-cycle review of project progress.,Medium,2025-07-26,user_96,To Do,2025-05-30,14.35,12.63
TASK_49966,,Low,2025-08-11,user_27,Completed,2025-05-30,7.63,7.06
TASK_70297,Critical bug in production impacting all users.,Critical,2025-08-03,user_74,To Do,2025-06-01,15.35,13.9
TASK_19220,Database optimization needed before backup.,High,2025-08-08,user_18,To Do,2025-06-18,12.71,11.68
TASK_62851,URGENT: System failure requires immediate attention.,Critical,2025-07-03,user_7,To Do,2025-05-25,7.9,10.89
TASK_47287,,Critical,2025-07-15,user_59,In Progress,2025-05-29,12.58,12.29
TASK_68391,Prepare for upcoming product launch this week.,High,2025-08-02,user_13,In Progress,2025-06-03,9.4,7.63
TASK_82861,Organize code comments and improve readability.,Low,2025-08-11,user_71,To Do,2025-06-09,15.36,14.72
TASK_49689,Enhance logging for future debugging.,Low,2025-06-21,user_39,To Do,2025-06-16,11.75,11.98
TASK_83051,Coordinate with design team on layout feedback.,Medium,2025-06-19,user_66,Completed,2025-06-07,11.39,9.72
TASK_75317,High priority task: Resolve server outage now.,Critical,2025-06-23,user_33,Completed,2025-06-05,8.86,10.39
TASK_26915,Critical bug in production impacting all users.,Critical,2025-08-03,user_10,Completed,2025-06-07,10.73,10.57
TASK_83496,Coordinate with design team on layout feedback.,Medium,2025-07-16,user_41,Completed,2025-05-27,5.22,5.28
TASK_54832,Improve UI consistency across all pages.,Low,2025-07-22,user_51,In Progress,2025-05-30,13.0,11.51
TASK_22416,Coordinate with design team on layout feedback.,Medium,2025-08-01,user_6,,2025-05-20,3.78,4.19
TASK_78449,Database optimization needed before backup.,High,2025-07-04,user_31,,2025-05-23,11.58,9.94
TASK_39603,High priority task: Resolve server outage now.,Critical,2025-07-12,user_49,To Do,2025-06-15,11.17,12.38
TASK_87358,Enhance logging for future debugging.,Low,2025-07-20,user_25,In Progress,2025-05-23,15.2,14.14
TASK_52760,Clean up old branches from repository.,Low,2025-08-01,user_8,In Progress,2025-06-01,13.61,13.33
TASK_17801,High priority task: Resolve server outage now.,,2025-07-13,user_93,To Do,2025-06-03,13.88,17.29
TASK_61408,Prepare for upcoming product launch this week.,High,2025-06-27,user_65,In Progress,2025-05-28,2.42,1.55
TASK_78417,Improve UI consistency across all pages.,Low,2025-08-04,user_67,In Progress,2025-06-07,2.89,2.63
TASK_65372,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-21,user_88,In Progress,2025-05-27,6.01,4.8
TASK_52854,Schedule meeting with stakeholders next week.,Medium,2025-06-25,user_1,In Progress,2025-06-09,10.01,8.33
TASK_94900,Clean up old branches from repository.,Low,2025-07-12,user_32,To Do,2025-06-02,4.73,4.39
TASK_44325,Schedule meeting with stakeholders next week.,Medium,2025-07-17,user_9,In Progress,2025-05-25,14.41,16.52
TASK_21869,Database optimization needed before backup.,High,2025-07-05,user_6,To Do,2025-05-20,8.58,8.17
TASK_60295,Clean up old branches from repository.,Low,2025-08-10,user_10,To Do,2025-06-08,13.52,16.49
TASK_86770,Update user avatars with new icons.,Low,2025-07-09,user_11,Completed,2025-05-21,5.36,3.75
TASK_16864,Database optimization needed before backup.,High,2025-07-15,,In Progress,2025-05-23,7.76,6.98
TASK_66160,High priority task: Resolve server outage now.,Critical,2025-06-25,user_68,Completed,2025-06-12,10.68,13.77
TASK_40214,Critical bug in production impacting all users.,Critical,2025-06-21,user_62,Completed,2025-06-06,2.13,1.26
TASK_41616,High priority task: Resolve server outage now.,Critical,2025-08-02,user_88,To Do,2025-06-07,14.06,13.62
TASK_36036,Client report must be submitted by evening.,High,2025-07-03,user_34,To Do,2025-06-11,9.34,11.37
TASK_93864,Update user avatars with new icons.,Low,2025-08-02,user_41,In Progress,2025-05-25,10.19,13.78
TASK_58363,Enhance logging for future debugging.,Low,2025-07-04,user_72,In Progress,2025-06-11,9.48,10.94
TASK_32584,Update user avatars with new icons.,Low,2025-07-06,user_1,Completed,2025-05-26,10.0,10.47
